iter;Initial storage utilization;Loading docks number;Unloading docks number;Forklifts number;palletTypesNum;Objective Value
1;0.1;7;2;24;3;77.373
2;1;7;5;36;11;121.174
3;0.9;6;2;18;15;103.981
4;0.5;4;3;27;9;96.711
5;0.1;2;4;17;15;90.824
6;0.9;2;5;11;6;94.293
7;0;7;3;40;14;85.787
8;0.9;1;5;42;10;63.38
9;0.8;6;2;39;1;95.78
10;0;1;1;10;1;58.271
11;1;3;1;13;2;87.532
12;0.4;1;1;38;3;64.291
13;1;7;5;44;16;116.944
14;0.3;1;2;12;2;76.621
15;0.8;1;4;37;9;65.809
16;0.4;4;5;35;5;88.359
17;0.9;1;5;10;10;87.881
18;0;1;1;42;1;58.236
19;0.2;1;1;23;2;64.791
20;0.2;3;2;20;3;93.588
21;0.5;4;3;12;1;83.264
22;0.8;6;2;43;12;94.992
23;0.8;5;5;28;14;101.76
24;0.8;6;5;30;3;99.243
25;0.7;1;3;41;9;63.854
26;0.6;3;2;35;12;71.25
27;0.3;1;1;17;14;63.546
28;0.2;1;3;41;7;65.401
29;0.4;5;1;18;9;101.319
30;1;7;4;12;3;87.188
31;0;7;1;10;1;51.861
32;1;1;1;44;1;63.972
33;0.3;1;2;31;4;66.406
34;0.1;7;5;23;13;95.105
35;0;1;1;44;1;58.482
36;0.3;1;2;42;2;65.134
37;0;1;1;39;1;58.386
38;0.4;1;2;30;5;66.384
39;0.1;5;2;40;7;71.781
40;0.1;4;4;33;12;94.143
41;0;2;1;40;1;56.73
42;0;5;1;21;1;50.752
43;0;6;4;13;8;69.375
44;0;3;1;30;1;54.454
45;0.3;1;4;17;3;79.96
46;0;1;5;44;1;66.68
47;0;7;1;17;1;45.094
48;0;6;4;43;5;98.441
49;0.7;1;3;28;7;64.151
50;0.7;1;5;14;14;79.206
51;0.3;7;1;33;12;103.869
52;0.9;4;1;30;6;79.126
53;0;7;1;16;1;44.981
54;0;5;1;17;1;50.046
55;0.4;1;4;35;16;63.479
56;0;7;1;21;1;45.309
57;0;7;1;15;1;45.353
58;0;5;1;16;1;50.58
59;0;6;1;16;1;48.385
60;1;1;3;13;5;70.465
61;0.6;3;4;27;16;90.673
62;0.5;6;3;21;8;105.223
63;0.9;4;3;12;13;95.676
64;0.5;6;4;11;13;82.376
65;0.5;6;4;35;13;102.849
66;0.9;3;5;28;7;87.089
67;0;1;1;10;16;70.855
68;0;7;1;19;1;45.253
69;0;7;1;18;1;45.202
70;0.8;1;5;29;2;65.465
71;0.9;1;3;44;6;66.482
72;0.2;3;2;35;16;68.908
73;0.6;6;4;43;7;110.52
74;0.5;3;3;44;3;67.44
75;0.1;7;3;19;14;81.457
76;0.8;2;1;18;10;87.179
77;0.5;3;3;15;9;92.956
78;0.5;3;5;43;15;69.901
79;0.2;3;4;13;9;81.258
80;0.1;3;2;15;11;94.694
81;0.9;6;5;10;10;95.447
82;0.2;6;2;11;14;96.702
83;0;2;3;34;1;66.277
84;1;2;1;38;9;67.148
85;0.3;5;5;24;2;92.385
86;0.9;4;3;28;9;90.856
87;0.8;5;2;11;5;87.393
88;1;1;2;22;15;65.894
89;0.2;1;5;37;10;66.133
90;0;4;4;16;1;68.32
91;0.6;4;5;22;9;88.678
92;0.7;1;2;21;11;66.199
93;0;7;1;14;1;45.528
94;0;7;3;22;2;68.329
95;1;7;2;16;1;105.729
96;0;1;1;22;15;65.938
97;0.7;2;2;24;4;74.544
98;0.1;6;1;17;1;63.129
99;0.8;4;4;13;6;105.033
100;0.7;2;3;34;2;67.645
101;0.9;7;1;40;6;110.984
102;0.8;1;3;27;13;68.266
103;0.4;6;3;27;13;98.3
104;0.7;3;4;42;11;67.18
105;0.5;5;2;35;6;89.17
106;0.4;3;3;25;9;85.21
107;0.2;4;1;32;1;67.834
108;0.4;7;2;37;3;113.303
109;0.5;6;2;21;2;119.95
110;0;7;1;44;1;45.103
111;0.3;1;1;39;14;67.395
112;0.5;6;5;11;6;86.643
113;1;4;1;43;16;70.704
114;0.2;6;4;33;7;114.589
115;1;1;4;32;15;64.259
116;0.1;6;3;27;6;90.233
117;0.9;4;4;38;4;80.007
118;0.8;2;5;44;2;66.411
119;0;7;1;23;1;45.527
120;0;7;1;12;1;45.54
121;0;7;1;36;1;45.241
122;0.4;2;3;24;4;82.878
123;0;5;3;15;12;79.589
124;0.4;2;1;34;8;66.475
125;0.5;5;4;31;4;97
126;0.3;5;4;44;12;86.798
127;0.5;2;2;44;8;66.921
128;0.3;3;3;35;7;74.667
129;0.4;4;1;21;2;92.003
130;0.9;4;2;35;15;83.604
131;0;2;3;36;13;67.871
132;0.1;6;1;40;3;67.138
133;0;7;1;43;1;45.535
134;0.3;5;3;29;2;95.579
135;0;7;1;32;1;45.33
136;0.7;7;3;15;1;100.541
137;0.1;6;2;12;1;76.247
138;0.2;4;4;43;7;76.22
139;0;7;1;25;1;45.123
140;1;7;3;23;8;111.547
141;0.9;7;3;39;5;121.645
142;0.4;3;2;24;12;93.972
143;0.3;5;2;31;6;99.624
144;0;7;1;26;1;45.63
145;0.9;3;1;42;3;67.893
146;0.1;4;2;26;11;87.723
147;0.5;2;5;27;9;70.771
148;0.1;4;5;22;12;86.002
149;0.9;7;1;25;9;130.261
150;0;7;1;22;1;45.461
151;0;7;1;24;1;45.227
152;0;7;1;13;1;45.171
153;0.2;7;5;43;10;117.726
154;0.9;1;3;17;10;68.982
155;0.9;7;3;30;13;121.661
156;0.7;2;4;19;4;92.082
157;1;1;5;20;9;68.093
158;0;2;3;12;6;95.854
159;0.4;7;1;24;16;106.551
160;0.7;6;1;14;9;103.912
161;0.9;2;3;43;12;66.819
162;0.4;1;2;12;9;82.22
163;0.6;2;1;13;5;82.59
164;0.8;7;4;13;10;91.414
165;0;2;1;27;4;62.032
166;0.3;2;5;28;4;79.944
167;0.5;4;5;19;15;95.733
168;0;4;3;25;15;91.753
169;0.1;3;3;24;9;81.737
170;1;3;5;36;13;67.813
171;0.2;5;4;15;15;85.802
172;0;7;1;11;1;49.759
173;0.5;7;1;12;4;144.867
174;0.5;4;3;17;15;91.873
175;0.1;2;1;30;8;66.317
176;0;7;1;16;4;53.581
177;0.4;2;5;21;16;82.707
178;0;2;1;27;1;56.351
179;0;2;1;26;3;63.306
180;0.3;4;2;29;6;84.642
181;0.3;5;2;22;3;107.7
182;0.8;3;3;26;14;83.316
183;1;5;4;20;7;94.346
184;0.2;5;1;38;14;73.693
185;0.4;5;5;12;2;84.004
186;0.6;7;2;34;10;122.509
187;0;7;1;12;2;50.887
188;0.2;6;4;17;3;102.66
189;0;7;1;14;2;50.922
190;0;2;2;43;8;67.044
191;0.9;4;4;22;1;88.652
192;0.1;4;1;23;15;68.741
193;0.5;1;4;37;5;67.275
194;0.6;1;2;38;16;66.411
195;0.7;7;4;19;15;95.82
196;0.6;7;4;25;3;109.959
197;0.9;5;4;38;9;96.449
198;0.7;4;5;42;7;79.451
199;0;1;1;27;10;65.565
